tree_id,split,method,params,B1_gt,B2_gt,B3_gt,B4_gt,B1_pred,B2_pred,B3_pred,B4_pred,MAE,total_gt,total_pred,within_1,error_sum
DAMIMAS_A21B_0001,train,corrected,None,1,2,5,0,1,3,6,0,0.5,8,10,True,2
DAMIMAS_A21B_0244,train,corrected,None,0,0,0,7,0,0,0,9,0.5,7,9,False,2
DAMIMAS_A21B_0577,train,corrected,None,3,0,4,2,3,0,3,2,0.25,9,8,True,1
DAMIMAS_A21B_0002,train,corrected,None,1,0,7,4,2,0,6,6,1.0,12,14,False,4
DAMIMAS_A21B_0245,train,corrected,None,0,0,3,2,0,0,2,4,0.75,5,6,False,3
DAMIMAS_A21B_0578,train,corrected,None,1,5,1,0,1,4,1,0,0.25,7,6,True,1
DAMIMAS_A21B_0003,train,corrected,None,1,2,5,1,1,3,6,1,0.5,9,11,True,2
DAMIMAS_A21B_0246,train,corrected,None,0,6,6,4,0,4,4,4,1.0,16,12,False,4
DAMIMAS_A21B_0579,train,corrected,None,5,3,6,1,5,3,6,1,0.0,15,15,True,0
DAMIMAS_A21B_0004,train,corrected,None,0,0,8,0,0,0,8,0,0.0,8,8,True,0
DAMIMAS_A21B_0247,train,corrected,None,2,3,5,0,2,3,6,0,0.25,10,11,True,1
DAMIMAS_A21B_0580,train,corrected,None,2,4,6,1,2,4,7,1,0.25,13,14,True,1
DAMIMAS_A21B_0005,train,corrected,None,1,3,3,2,1,3,3,1,0.25,9,8,True,1
DAMIMAS_A21B_0248,train,corrected,None,0,2,5,4,0,2,6,3,0.5,11,11,True,2
DAMIMAS_A21B_0581,train,corrected,None,1,3,5,2,1,3,5,2,0.0,11,11,True,0
DAMIMAS_A21B_0006,train,corrected,None,1,0,5,3,1,0,4,4,0.5,9,9,True,2
DAMIMAS_A21B_0249,train,corrected,None,0,1,9,0,0,1,9,0,0.0,10,10,True,0
DAMIMAS_A21B_0582,train,corrected,None,2,6,5,2,2,6,5,2,0.0,15,15,True,0
DAMIMAS_A21B_0007,train,corrected,None,3,3,9,3,3,2,8,3,0.5,18,16,True,2
DAMIMAS_A21B_0250,train,corrected,None,2,1,8,8,2,1,7,8,0.25,19,18,True,1
DAMIMAS_A21B_0583,train,corrected,None,1,2,0,0,1,2,0,0,0.0,3,3,True,0
DAMIMAS_A21B_0008,train,corrected,None,2,3,4,0,2,3,4,0,0.0,9,9,True,0
DAMIMAS_A21B_0251,train,corrected,None,1,4,6,2,1,3,6,2,0.25,13,12,True,1
DAMIMAS_A21B_0584,train,corrected,None,1,3,5,1,1,3,6,1,0.25,10,11,True,1
DAMIMAS_A21B_0009,train,corrected,None,0,0,3,3,0,0,3,2,0.25,6,5,True,1
DAMIMAS_A21B_0252,train,corrected,None,0,2,6,2,0,1,6,1,0.5,10,8,True,2
DAMIMAS_A21B_0585,train,corrected,None,2,2,4,3,2,2,4,4,0.25,11,12,True,1
DAMIMAS_A21B_0010,train,corrected,None,0,2,6,3,0,3,6,4,0.5,11,13,True,2
DAMIMAS_A21B_0253,train,corrected,None,0,2,4,0,0,2,4,0,0.0,6,6,True,0
DAMIMAS_A21B_0586,train,corrected,None,0,3,4,2,0,3,3,2,0.25,9,8,True,1
DAMIMAS_A21B_0011,train,corrected,None,1,1,4,1,1,1,6,1,0.5,7,9,False,2
DAMIMAS_A21B_0254,train,corrected,None,0,2,6,3,0,3,5,4,0.75,11,12,True,3
DAMIMAS_A21B_0587,train,corrected,None,3,0,0,0,3,0,0,0,0.0,3,3,True,0
DAMIMAS_A21B_0012,train,corrected,None,1,2,4,2,2,1,4,2,0.5,9,9,True,2
DAMIMAS_A21B_0255,train,corrected,None,1,2,6,1,1,2,6,1,0.0,10,10,True,0
DAMIMAS_A21B_0588,train,corrected,None,4,3,3,2,3,3,3,2,0.25,12,11,True,1
DAMIMAS_A21B_0013,train,corrected,None,0,1,4,4,0,1,4,4,0.0,9,9,True,0
DAMIMAS_A21B_0256,train,corrected,None,0,0,2,0,0,0,2,0,0.0,2,2,True,0
DAMIMAS_A21B_0589,train,corrected,None,1,2,10,1,1,2,9,1,0.25,14,13,True,1
DAMIMAS_A21B_0014,train,corrected,None,1,1,4,3,1,1,4,4,0.25,9,10,True,1
DAMIMAS_A21B_0257,train,corrected,None,1,4,7,1,1,3,5,1,0.75,13,10,False,3
DAMIMAS_A21B_0590,train,corrected,None,4,2,4,4,4,2,3,3,0.5,14,12,True,2
DAMIMAS_A21B_0015,train,corrected,None,1,1,7,4,2,1,8,4,0.5,13,15,True,2
DAMIMAS_A21B_0258,train,corrected,None,0,2,7,2,0,2,6,2,0.25,11,10,True,1
DAMIMAS_A21B_0591,train,corrected,None,2,5,5,1,2,5,5,1,0.0,13,13,True,0
DAMIMAS_A21B_0016,train,corrected,None,1,0,4,0,1,0,4,0,0.0,5,5,True,0
DAMIMAS_A21B_0259,train,corrected,None,1,8,3,0,1,6,3,0,0.5,12,10,False,2
DAMIMAS_A21B_0592,train,corrected,None,1,1,6,0,1,1,6,0,0.0,8,8,True,0
DAMIMAS_A21B_0017,train,corrected,None,0,1,3,4,0,1,3,5,0.25,8,9,True,1
DAMIMAS_A21B_0260,train,corrected,None,1,5,3,2,1,6,3,1,0.5,11,11,True,2
DAMIMAS_A21B_0593,train,corrected,None,0,0,1,2,0,0,1,2,0.0,3,3,True,0
DAMIMAS_A21B_0018,train,corrected,None,1,0,3,1,1,0,4,1,0.25,5,6,True,1
DAMIMAS_A21B_0261,train,corrected,None,3,5,5,3,3,4,4,4,0.75,16,15,True,3
DAMIMAS_A21B_0594,train,corrected,None,4,5,3,3,4,4,3,2,0.5,15,13,True,2
DAMIMAS_A21B_0019,train,corrected,None,2,0,8,3,2,0,8,4,0.25,13,14,True,1
DAMIMAS_A21B_0262,train,corrected,None,2,2,7,2,2,2,8,2,0.25,13,14,True,1
DAMIMAS_A21B_0595,train,corrected,None,3,4,6,0,3,4,6,0,0.0,13,13,True,0
DAMIMAS_A21B_0020,train,corrected,None,1,1,4,3,1,1,4,3,0.0,9,9,True,0
DAMIMAS_A21B_0263,train,corrected,None,0,7,3,1,0,8,3,1,0.25,11,12,True,1
DAMIMAS_A21B_0596,train,corrected,None,0,2,8,4,0,2,8,3,0.25,14,13,True,1
DAMIMAS_A21B_0021,train,corrected,None,3,0,5,4,3,0,5,4,0.0,12,12,True,0
DAMIMAS_A21B_0264,train,corrected,None,3,2,7,0,3,2,7,0,0.0,12,12,True,0
DAMIMAS_A21B_0597,train,corrected,None,0,0,8,0,0,0,8,0,0.0,8,8,True,0
DAMIMAS_A21B_0022,train,corrected,None,0,1,5,2,0,1,6,2,0.25,8,9,True,1
DAMIMAS_A21B_0265,train,corrected,None,1,2,8,1,1,2,8,1,0.0,12,12,True,0
DAMIMAS_A21B_0598,train,corrected,None,1,3,5,1,1,3,5,1,0.0,10,10,True,0
DAMIMAS_A21B_0023,train,corrected,None,1,3,5,0,1,3,4,0,0.25,9,8,True,1
